MCC|MNC|NetType|Organisation|Network|PPCIN|AbrevNetName
283|05|3G 1900|MTS Armenia CJSC|MTS Armenia|MTS ARM|MTS Arm
283|05|3G 2100|MTS Armenia CJSC|MTS Armenia|MTS ARM|MTS Arm
283|05|GSM 900|MTS Armenia CJSC|MTS Armenia|MTS ARM|MTS Arm
283|05|GSM 1800|MTS Armenia CJSC|MTS Armenia|MTS ARM|MTS Arm
283|05|LTE 2600|MTS Armenia CJSC|MTS Armenia|MTS ARM|MTS Arm
283|01|3G 2100|VEON Armenia CJSC|ARMGSM|Beeline AM|Beeline
283|01|GSM 900|VEON Armenia CJSC|ARMGSM|Beeline AM|Beeline
283|01|GSM 1800|VEON Armenia CJSC|ARMGSM|Beeline AM|Beeline
544|110|3G 850|"AST Telecom, LLC"|BLUESKY|Bluesky Communications|BLUESKY
344|920|GSM 850|Cable & Wireless Antigua & Barbuda Ltd|FLOW|FLOW|FLOW
344|930|GSM 900|Antigua Wireless Ventures Limited|Digicel Antigua & Barbuda|Cingular|Cingular
344|30|GSM 1900|Antigua Public Utilities Authority (APUA)|APUA inet|APUA inet|inet
505|06|3G 2100|Vodafone Hutchison Australia Pty Limited|Hutchison 3G Australia Pty|3TELSTRA|3TELSTRA
505|03|GSM 900|Vodafone Hutchison Australia Pty Limited|Vodafone|vodafone AU|voda AU
505|03|GSM 1800|Vodafone Hutchison Australia Pty Limited|Vodafone|vodafone AU|voda AU
505|71|LTE 1800|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|72|LTE 1800|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|72|LTE 700|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|72|LTE 2100|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|72|LTE 2600|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|72|LTE 900|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|71|LTE 2100|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|71|LTE 2600|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|71|LTE 900|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|71|LTE 700|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|01|LTE 700|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|01|LTE 2100|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|01|LTE 2600|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|01|LTE 900|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|01|3G 850|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|01|3G 2100|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|01|LTE 1800|Telstra Corporation Limited|Telstra MobileNet|Telstra Mobile|Telstra
505|02|LTE 900|SingTel Optus Pty Limited|YES OPTUS|Optus AU|Optus
505|02|LTE 2100|SingTel Optus Pty Limited|YES OPTUS|Optus AU|Optus
505|02|LTE 1800|SingTel Optus Pty Limited|YES OPTUS|Optus AU|Optus
505|02|LTE 2600|SingTel Optus Pty Limited|YES OPTUS|Optus AU|Optus
505|02|LTE-TDD 2300|SingTel Optus Pty Limited|YES OPTUS|Optus AU|Optus
505|02|3G 2100|SingTel Optus Pty Limited|YES OPTUS|Optus AU|Optus
505|02|3G 900|SingTel Optus Pty Limited|YES OPTUS|Optus AU|Optus
505|02|LTE 700|SingTel Optus Pty Limited|YES OPTUS|Optus AU|Optus
505|50|LTE 850|Pivotel Group Pty Limited|Pivotel|Pivotel|Pivotel
505|50|LTE 2100|Pivotel Group Pty Limited|Pivotel|Pivotel|Pivotel
232|05|GSM 1800|Hutchison Drei Austria GmbH|Drei|3 AT|3 AT
232|05|3G 2100|Hutchison Drei Austria GmbH|Drei|3 AT|3 AT
232|05|LTE 2600|Hutchison Drei Austria GmbH|Drei|3 AT|3 AT
232|05|LTE 1800|Hutchison Drei Austria GmbH|Drei|3 AT|3 AT
232|05|GSM 900|Hutchison Drei Austria GmbH|Drei|3 AT|3 AT
232|10|LTE 1800|Hutchison Drei Austria GmbH|Drei|3 AT|3 AT
232|10|3G 2100|Hutchison Drei Austria GmbH|Drei|3 AT|3 AT
232|10|LTE 2600|Hutchison Drei Austria GmbH|Drei|3 AT|3 AT
232|01|GSM 900|A1 Telekom Austria AG |A1|A1|A1
232|01|GSM 1800|A1 Telekom Austria AG |A1|A1|A1
232|01|3G 2100|A1 Telekom Austria AG |A1|A1|A1
232|01|LTE 2600|A1 Telekom Austria AG |A1|A1|A1
232|01|LTE 800|A1 Telekom Austria AG |A1|A1|A1
232|01|3G 900|A1 Telekom Austria AG |A1|A1|A1
232|03|3G 2100|T-Mobile Austria GmbH|T-Mobile Austria|T-Mobile A|TMA
232|03|GSM 900|T-Mobile Austria GmbH|T-Mobile Austria|T-Mobile A|TMA
232|03|GSM 1800|T-Mobile Austria GmbH|T-Mobile Austria|T-Mobile A|TMA
232|03|LTE 800|T-Mobile Austria GmbH|T-Mobile Austria|T-Mobile A|TMA
232|03|LTE 1800|T-Mobile Austria GmbH|T-Mobile Austria|T-Mobile A|TMA
232|03|LTE 2600|T-Mobile Austria GmbH|T-Mobile Austria|T-Mobile A|TMA
232|07|GSM 900|T-Mobile Austria GmbH|Tele-ring|telering|telering
232|07|GSM 1800|T-Mobile Austria GmbH|Tele-ring|telering|telering
232|07|3G 2100|T-Mobile Austria GmbH|Tele-ring|telering|telering
232|07|LTE 800|T-Mobile Austria GmbH|Tele-ring|telering|telering
232|07|LTE 1800|T-Mobile Austria GmbH|Tele-ring|telering|telering
232|07|LTE 2600|T-Mobile Austria GmbH|Tele-ring|telering|telering
400|04|3G 2100|Azerfon LLC|Nar Mobile|AZ Nar|Nar
400|04|GSM 1800|Azerfon LLC|Nar Mobile|AZ Nar|Nar
400|02|3G 2100|Bakcell Limited Liable Company|Bakcell LLC|BAKCELL AZ|BAKCELL
400|02|GSM 900|Bakcell Limited Liable Company|Bakcell LLC|BAKCELL AZ|BAKCELL
400|02|GSM 1800|Bakcell Limited Liable Company|Bakcell LLC|BAKCELL AZ|BAKCELL
400|02|LTE 1800|Bakcell Limited Liable Company|Bakcell LLC|BAKCELL AZ|BAKCELL
400|01|GSM 900|Azercell Telecom LLC|AZERCELL GSM|AZEAC|Azercell
400|01|3G 2100|Azercell Telecom LLC|AZERCELL GSM|AZEAC|Azercell
400|01|LTE 1800|Azercell Telecom LLC|AZERCELL GSM|AZEAC|Azercell
642|07|GSM 1800|Lacell SU|Smart Mobile|SMART|SMART
642|03|GSM 900|Onatel|ONATEL|ONATEL BDI|ONATEL
642|82|GSM 900|Econetleo|U-COM Burundi|TELECEL-BDI|BDITL
206|20|GSM 900|Telenet Group BVBA/SPRL|BASE|BASE|BASE
206|20|GSM 1800|Telenet Group BVBA/SPRL|BASE|BASE|BASE
206|20|3G 2100|Telenet Group BVBA/SPRL|BASE|BASE|BASE
206|20|3G 900|Telenet Group BVBA/SPRL|BASE|BASE|BASE
206|20|LTE 800|Telenet Group BVBA/SPRL|BASE|BASE|BASE
206|20|LTE 1800|Telenet Group BVBA/SPRL|BASE|BASE|BASE
206|10|GSM 900|ORANGE Belgium nv/SA|Orange Belgium|Orange B|OBE
206|10|GSM 1800|ORANGE Belgium nv/SA|Orange Belgium|Orange B|OBE
206|10|3G 2100|ORANGE Belgium nv/SA|Orange Belgium|Orange B|OBE
206|10|LTE 2600|ORANGE Belgium nv/SA|Orange Belgium|Orange B|OBE
206|10|3G 900|ORANGE Belgium nv/SA|Orange Belgium|Orange B|OBE
206|10|LTE 800|ORANGE Belgium nv/SA|Orange Belgium|Orange B|OBE
206|10|LTE 1800|ORANGE Belgium nv/SA|Orange Belgium|Orange B|OBE
206|01|GSM 900|Proximus PLC|Proximus|Proximus|Proximus
206|01|GSM 1800|Proximus PLC|Proximus|Proximus|Proximus
206|01|3G 2100|Proximus PLC|Proximus|Proximus|Proximus
206|01|LTE 1800|Proximus PLC|Proximus|Proximus|Proximus
616|02|GSM 900|Etisalat Benin SA|ETISALAT BENIN|ETISALAT BENIN|ETISALAT
616|03|GSM 1800|Spacetel-Benin|MTN BENIN|MTN BENIN|MTNBENIN
616|03|LTE 1800|Spacetel-Benin|MTN BENIN|MTN BENIN|MTNBENIN
616|03|GSM 900|Spacetel-Benin|MTN BENIN|MTN BENIN|MTNBENIN
616|03|3G 2100|Spacetel-Benin|MTN BENIN|MTN BENIN|MTNBENIN
613|02|GSM 900|Orange Burkina Faso S.A|Orange|Orange BF|Orange
613|02|3G 1900|Orange Burkina Faso S.A|Orange|Orange BF|Orange
613|02|GSM 1800|Orange Burkina Faso S.A|Orange|Orange BF|Orange
613|02|3G 2100|Orange Burkina Faso S.A|Orange|Orange BF|Orange
613|01|GSM 900|Onatel|ONATEL|ONATEL|ONATEL
613|01|GSM 1800|Onatel|ONATEL|ONATEL|ONATEL
613|01|3G 900|Onatel|ONATEL|ONATEL|ONATEL
613|01|3G 2100|Onatel|ONATEL|ONATEL|ONATEL
470|07|GSM 1800|Airtel Bangladesh Limited|Airtel|Airtel|Airtel
470|04|GSM 900|Teletalk Bangladesh Limited|Teletalk Bangladesh Ltd|BGD bMobile|bMobile
470|03|GSM 900|Banglalink Digital Communications Ltd.|Banglalink|Banglalink|BL
470|03|3G 2100|Banglalink Digital Communications Ltd.|Banglalink|Banglalink|BL
470|03|GSM 1800|Banglalink Digital Communications Ltd.|Banglalink|Banglalink|BL
470|02|GSM 900|Robi Axiata Limited|robi axiata|robi axiata|robi
470|02|GSM 1800|Robi Axiata Limited|robi axiata|robi axiata|robi
470|02|3G 2100|Robi Axiata Limited|robi axiata|robi axiata|robi
470|001|GSM 900|Grameenphone Ltd|grameenphone|Grameenphone|Grameen
470|001|GSM 1800|Grameenphone Ltd|grameenphone|Grameenphone|Grameen
470|09|LTE 800|Bangladesh Internet Exchange Limited|BIEL 4G|BGD-BIEL|BIEL 4G
470|09|LTE 2600|Bangladesh Internet Exchange Limited|BIEL 4G|BGD-BIEL|BIEL 4G
284|03|3G 900|Bulgarian Telecommunications Company EAD|Vivacom|Vivacom BG|Vivacom
284|03|3G 2100|Bulgarian Telecommunications Company EAD|Vivacom|Vivacom BG|Vivacom
284|03|GSM 900|Bulgarian Telecommunications Company EAD|Vivacom|Vivacom BG|Vivacom
284|03|GSM 1800|Bulgarian Telecommunications Company EAD|Vivacom|Vivacom BG|Vivacom
284|03|LTE 1800|Bulgarian Telecommunications Company EAD|Vivacom|Vivacom BG|Vivacom
284|05|GSM 900|Telenor Bulgaria EAD|Telenor|Telenor BG|Telenor
284|05|GSM 1800|Telenor Bulgaria EAD|Telenor|Telenor BG|Telenor
284|05|3G 900|Telenor Bulgaria EAD|Telenor|Telenor BG|Telenor
284|05|3G 2100|Telenor Bulgaria EAD|Telenor|Telenor BG|Telenor
284|05|LTE 1800|Telenor Bulgaria EAD|Telenor|Telenor BG|Telenor
284|01|GSM 1800|A1 Bulgaria EAD|A1 BG|A1 BG|A1 BG
284|01|3G 2100|A1 Bulgaria EAD|A1 BG|A1 BG|A1 BG
284|01|GSM 900|A1 Bulgaria EAD|A1 BG|A1 BG|A1 BG
284|01|3G 900|A1 Bulgaria EAD|A1 BG|A1 BG|A1 BG
284|01|LTE 1800|A1 Bulgaria EAD|A1 BG|A1 BG|A1 BG
284|01|LTE 2100|A1 Bulgaria EAD|A1 BG|A1 BG|A1 BG
426|04|LTW 1800|Viva Bahrain B.S.C Closed|VIVA Bahrain|VIVA BH|VIVA BH
426|04|GSM 1800|Viva Bahrain B.S.C Closed|VIVA Bahrain|VIVA BH|VIVA BH
426|04|3G 2100|Viva Bahrain B.S.C Closed|VIVA Bahrain|VIVA BH|VIVA BH
426|02|3G 2100|Zain Bahrain B.S.C|Zain BH|Zain BH|Zain BH
426|02|GSM 900|Zain Bahrain B.S.C|Zain BH|Zain BH|Zain BH
426|02|GSM 1800|Zain Bahrain B.S.C|Zain BH|Zain BH|Zain BH
426|01|GSM 900|Bahrain Telecommunications Company (B.S.C.)|BATELCO|BATELCO|BATELCO
426|01|3G 2100|Bahrain Telecommunications Company (B.S.C.)|BATELCO|BATELCO|BATELCO
426|01|LTE 1800|Bahrain Telecommunications Company (B.S.C.)|BATELCO|BATELCO|BATELCO
364|39|GSM 1900|The Bahamas Telecommunications Company Ltd.|The Bahamas Telecommunications Company Ltd|BTC|BTC
364|39|3G 850|The Bahamas Telecommunications Company Ltd.|The Bahamas Telecommunications Company Ltd|BTC|BTC
364|49|LTE 2100|Be Aliv Limited|aliv|aliv|aliv
364|49|3G 850|Be Aliv Limited|aliv|aliv|aliv
364|49|3G 1900|Be Aliv Limited|aliv|aliv|aliv
364|49|LTE 700|Be Aliv Limited|aliv|aliv|aliv
218|03|GSM 1800|Public Enterprise Croatian Telecom JSC|HT ERONET|HT ERONET|HTERONET
218|03|GSM 900|Public Enterprise Croatian Telecom JSC|HT ERONET|HT ERONET|HTERONET
218|03|3G 2100|Public Enterprise Croatian Telecom JSC|HT ERONET|HT ERONET|HTERONET
218|05|GSM 900|RS Telecommunications  JSC Banja Luka|m:tel|m:tel|m:tel
218|05|GSM 1800|RS Telecommunications  JSC Banja Luka|m:tel|m:tel|m:tel
218|05|3G 2100|RS Telecommunications  JSC Banja Luka|m:tel|m:tel|m:tel
218|90|3G 2100|BH Telecom JSC Sarajevo|BH Mobile|BH Mobile|BHMOBILE
218|90|GSM 900|BH Telecom JSC Sarajevo|BH Mobile|BH Mobile|BHMOBILE
218|90|GSM 1800|BH Telecom JSC Sarajevo|BH Mobile|BH Mobile|BHMOBILE
257|04|3G 2100|Belarusian Telecommunications Network CJSC|Belarusian Telecommunications Network CJSC|life:) BY|life:)BY
257|04|GSM 900|Belarusian Telecommunications Network CJSC|Belarusian Telecommunications Network CJSC|life:) BY|life:)BY
257|04|GSM 1800|Belarusian Telecommunications Network CJSC|Belarusian Telecommunications Network CJSC|life:) BY|life:)BY
257|04|LTE 1800|Belarusian Telecommunications Network CJSC|Belarusian Telecommunications Network CJSC|life:) BY|life:)BY
257|02|GSM 900|JLLC Mobile TeleSystems|MTS BY|MTS BY|MTS BY
257|02|GSM 1800|JLLC Mobile TeleSystems|MTS BY|MTS BY|MTS BY
257|02|3G 900|JLLC Mobile TeleSystems|MTS BY|MTS BY|MTS BY
257|02|3G 2100|JLLC Mobile TeleSystems|MTS BY|MTS BY|MTS BY
257|02|LTE 1800|JLLC Mobile TeleSystems|MTS BY|MTS BY|MTS BY
257|01|GSM 900|Unitary enterprise velcom|VELCOM|BY VELCOM|VELCOM
257|01|GSM 1800|Unitary enterprise velcom|VELCOM|BY VELCOM|VELCOM
257|01|3G 2100|Unitary enterprise velcom|VELCOM|BY VELCOM|VELCOM
257|01|3G 900|Unitary enterprise velcom|VELCOM|BY VELCOM|VELCOM
702|67|GSM 1900|Belize Telemedia Limited|Belize Telecommunications|BTL|BTL
702|67|GSM 850|Belize Telemedia Limited|Belize Telecommunications|BTL|BTL
702|67|3G 850|Belize Telemedia Limited|Belize Telecommunications|BTL|BTL
702|67|3G 1900|Belize Telemedia Limited|Belize Telecommunications|BTL|BTL
702|67|LTE 700|Belize Telemedia Limited|Belize Telecommunications|BTL|BTL
702|67|LTE 1900|Belize Telemedia Limited|Belize Telecommunications|BTL|BTL
702|69|LTE 700|Speednet Communications Ltd|Speednet Communications Ltd|Smart|Smart
350|000|3G 850|Bermuda Digital Communications Ltd.|CELLONE|CELLONE|CELLONE
350|000|GSM 1900|Bermuda Digital Communications Ltd.|CELLONE|CELLONE|CELLONE
350|010|GSM 1900|Telecommunications (Bermuda & West Indies) Ltd.|Digicel Bermuda|Cingular|Cingular
350|010|3G 2100|Telecommunications (Bermuda & West Indies) Ltd.|Digicel Bermuda|Cingular|Cingular
736|02|3G 850|Entel S.A.|Entel|BOMOV|EMOVIL
736|02|GSM 900|Entel S.A.|Entel|BOMOV|EMOVIL
736|02|GSM 1800|Entel S.A.|Entel|BOMOV|EMOVIL
736|01|GSM 1900|Nuevatel PCS de Bolivia S.A.|Nuevatel PCS De Bolivia|VIVA|VIVA
736|03|GSM 850|Telefonica Celular de Bolivia S.A.|TIGO|TIGO|TIGO
736|03|LTE 700|Telefonica Celular de Bolivia S.A.|TIGO|TIGO|TIGO
736|03|3G 850|Telefonica Celular de Bolivia S.A.|TIGO |TIGO|TIGO
736|03|3G 1900|Telefonica Celular de Bolivia S.A.|TIGO|TIGO|TIGO
724|39|3G 2100|Nextel Telecomunicações Ltda|Nextel Brasil|Nextel Brasil|Nextel
724|39|3G 1900|Nextel Telecomunicações Ltda|Nextel Brasil|Nextel Brasil|Nextel
724|10|GSM 850|Vivo S.A.|Vivo|VIVO|VIVO
724|10|GSM 1900|Vivo S.A.|Vivo|VIVO|VIVO
724|11|GSM 850|Vivo S.A.|Vivo|VIVO|VIVO
724|11|GSM 1900|Vivo S.A.|Vivo|VIVO|VIVO
724|23|GSM 900|Vivo S.A.|Vivo|VIVO|VIVO
724|23|GSM 1800|Vivo S.A.|Vivo|VIVO|VIVO
724|23|3G 2100|Vivo S.A.|Vivo|VIVO|VIVO
724|23|3G 850|Vivo S.A.|Vivo|VIVO|VIVO
724|06|GSM 850|Vivo S.A.|Vivo|VIVO|VIVO
724|06|GSM 1900|Vivo S.A.|Vivo|VIVO|VIVO
724|06|GSM 900|Vivo S.A.|Vivo|VIVO|VIVO
724|06|GSM 1800|Vivo S.A.|Vivo|VIVO|VIVO
724|06|3G 2100|Vivo S.A.|Vivo|VIVO|VIVO
724|06|3G 850|Vivo S.A.|Vivo|VIVO|VIVO
724|10|GSM 1800|Vivo S.A.|Vivo|VIVO|VIVO
724|10|3G 2100|Vivo S.A.|Vivo|VIVO|VIVO
724|10|3G 850|Vivo S.A.|Vivo|VIVO|VIVO
724|11|GSM 900|Vivo S.A.|Vivo|VIVO|VIVO
724|11|GSM 1800|Vivo S.A.|Vivo|VIVO|VIVO
724|11|3G 2100|Vivo S.A.|Vivo|VIVO|VIVO
724|11|3G 850|Vivo S.A.|Vivo|VIVO|VIVO
724|23|GSM 850|Vivo S.A.|Vivo|VIVO|VIVO
724|06|LTE 2600|Vivo S.A.|Vivo|VIVO|VIVO
724|06|LTE 700|Vivo S.A.|Vivo|VIVO|VIVO
724|10|LTE 2600|Vivo S.A.|Vivo|VIVO|VIVO
724|10|LTE 700|Vivo S.A.|Vivo|VIVO|VIVO
724|11|LTE 2600|Vivo S.A.|Vivo|VIVO|VIVO
724|11|LTE 700|Vivo S.A.|Vivo|VIVO|VIVO
724|23|LTE 2600|Vivo S.A.|Vivo|VIVO|VIVO
724|23|LTE 700|Vivo S.A.|Vivo|VIVO|VIVO
724|32|GSM 900|Algar Telecom S.A.|Algar Telecom|Algar Telecom|Algar
724|32|GSM 1800|Algar Telecom S.A.|Algar Telecom|Algar Telecom|Algar
724|33|GSM 900|Algar Telecom S.A.|Algar Telecom|Algar Telecom|Algar
724|33|GSM 1800|Algar Telecom S.A.|Algar Telecom|Algar Telecom|Algar
724|34|GSM 900|Algar Telecom S.A.|Algar Telecom|Algar Telecom|Algar
724|34|GSM 1800|Algar Telecom S.A.|Algar Telecom|Algar Telecom|Algar
724|15|GSM 900|Sercomtel S.A.|Sercomtel Celular S.A.|BRA SCTL|SCTL
724|15|GSM 1800|Sercomtel S.A.|Sercomtel Celular S.A.|BRA SCTL|SCTL
724|15|3G 850|Sercomtel S.A.|Sercomtel Celular S.A.|BRA SCTL|SCTL
724|05|GSM 1800|Claro S.A|Claro|Claro BRA|Claro
724|05|3G 850|Claro S.A|Claro|Claro BRA|Claro
724|05|3G 2100|Claro S.A|Claro|Claro BRA|Claro
